datetime,open,high,low,close
2024-01-01 09:15:00,22000.0,22012.56900480664,21999.063386501108,22006.476885381006
2024-01-01 09:20:00,22006.476885381006,22012.793736643034,22001.065776894902,22004.135515811515
2024-01-01 09:25:00,22004.135515811515,22006.305755985857,21997.587101180918,21999.440771952166
2024-01-01 09:30:00,21999.440771952166,22000.40862103843,21987.130353437835,21994.783474416465
2024-01-01 09:35:00,21994.783474416465,21997.03262453343,21973.482971609996,21977.534296091333
2024-01-01 09:40:00,21977.534296091333,21984.30886571937,21971.885081285993,21980.676769417285
2024-01-01 09:45:00,21980.676769417285,21996.236362308446,21980.406656598534,21995.3332571065
2024-01-01 09:50:00,21995.3332571065,21997.5107880046,21980.642084885527,21981.085775244366
2024-01-01 09:55:00,21981.085775244366,21982.588567317747,21967.17328471047,21969.575839470144
2024-01-01 10:00:00,21969.575839470144,21971.982665919062,21959.249789234178,21966.658901972212
2024-01-01 10:05:00,21966.658901972212,21970.889745688037,21963.233750076422,21966.523929724834
2024-01-01 10:10:00,21966.523929724834,21967.359384104853,21946.476812729605,21954.315493225124
2024-01-01 10:15:00,21954.315493225124,21955.1029381686,21938.07976641616,21941.03363273614
2024-01-01 10:20:00,21941.03363273614,21943.209908677592,21939.829217953782,21942.74731554804
2024-01-01 10:25:00,21942.74731554804,21945.62669238162,21926.119540560525,21927.962095644365
2024-01-01 10:30:00,21927.962095644365,21939.907791064827,21920.909935022915,21938.533317906553
2024-01-01 10:35:00,21938.533317906553,21943.314486722164,21935.82562990533,21941.7741576005
2024-01-01 10:40:00,21941.7741576005,21952.014918578894,21938.049037124034,21947.89092048891
2024-01-01 10:45:00,21947.89092048891,21949.127769992316,21938.17369153107,21939.498745256682
2024-01-01 10:50:00,21939.498745256682,21951.170893479288,21938.756109350026,21949.254196527905
2024-01-01 10:55:00,21949.254196527905,21954.039023024226,21934.940743498268,21938.190846787846
2024-01-01 11:00:00,21938.190846787846,21952.041287559874,21934.176715196278,21951.753247073553
2024-01-01 11:05:00,21951.753247073553,21957.950086342447,21950.30766465152,21955.369607324028
2024-01-01 11:10:00,21955.369607324028,21970.89327714513,21949.111032700774,21970.749972988688
2024-01-01 11:15:00,21970.749972988688,21974.03758300619,21944.204333674836,21944.55252194779
2024-01-01 11:20:00,21944.55252194779,21944.919565053933,21933.612172784728,21941.562448443132
2024-01-01 11:25:00,21941.562448443132,21942.99089872918,21933.454153385792,21939.365729564757
2024-01-01 11:30:00,21939.365729564757,21942.59970397633,21932.17599920768,21934.18302738202
2024-01-01 11:35:00,21934.18302738202,21944.65205299768,21932.06398656695,21943.337048559042
2024-01-01 11:40:00,21943.337048559042,21948.858033087567,21939.46246859691,21948.469722890175
2024-01-01 11:45:00,21948.469722890175,21949.780371476565,21939.88075933887,21941.4491919514
